studentID,courseID,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14
2022510020,CME2030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2022510020,CME2040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2022510020,CME2050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2023510021,CME1010,+,+,+,+,+,+,+,+,+,0,0,0,0,0
2023510021,CME1020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2023510021,CME1030,+,+,+,+,+,+,+,+,+,0,0,0,0,0
2023510021,CME1040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2023510022,CME1050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2023510022,CME1010,+,+,+,+,+,+,-,+,-,0,0,0,0,0
2023510022,CME1020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2023510022,CME1030,+,+,+,+,+,+,+,+,-,0,0,0,0,0
2023510023,CME1040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2023510023,CME1050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2023510023,CME1010,+,+,+,+,+,+,+,+,-,0,0,0,0,0
2023510023,CME1020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2023510024,CME1030,+,+,+,+,+,+,+,+,-,0,0,0,0,0
2023510024,CME1040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2023510024,CME1050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2023510024,CME1010,+,+,+,+,+,+,-,+,+,0,0,0,0,0
2023510025,CME1020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2023510025,CME1030,+,+,+,+,+,+,+,+,+,0,0,0,0,0
2023510025,CME1040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2023510025,CME1050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510026,CME3020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510026,CME4020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510026,CME3030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510026,CME4030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510027,CME3040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510027,CME4040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510027,CME3050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510027,CME4050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510028,CME3010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510028,CME4010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510028,CME3020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510028,CME4020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510029,CME3030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510029,CME4030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510029,CME3040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510029,CME4040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510030,CME3050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510030,CME4050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510030,CME3010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510030,CME4010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510031,CME2010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510031,CME2020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510031,CME2030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510031,CME2040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510032,CME2050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510032,CME2010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510032,CME2020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510032,CME2030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510033,CME2010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510033,CME3010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510033,CME2020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510033,CME3020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510034,CME2030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510034,CME2040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510034,CME2050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510034,CME2010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510035,CME2020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510035,CME2030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510035,CME2040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510035,CME2050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510036,CME2010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510036,CME3010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510036,CME2020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510036,CME3020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510037,CME2030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510037,CME3030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510037,CME2040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510037,CME3040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510038,CME2050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510038,CME3050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510038,CME2010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510038,CME3010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510039,CME2020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510039,CME3020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510039,CME2030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510039,CME3030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510040,CME2040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510040,CME3040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510040,CME2050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510040,CME3050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510041,CME2010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510041,CME3010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510041,CME2020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510041,CME3020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510042,CME2030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510042,CME3030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510042,CME2040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510042,CME3040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510043,CME2050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510043,CME3050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510043,CME2010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510043,CME3010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
